,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
417,Arlington Road, Jeff Bridges, Tim Robbins, Joan Cusack, Hope Davis,Action, Crime, Drama,24.36,R ,"89,109"
418,The Transformers: The Movie, Orson Welles, Robert Stack, Leonard Nimoy, Norman Alden,Animation, Action, Adventure,5.85,PG ,"40,693"
419,'71, Jack O'Connell, Sam Reid, Sean Harris, Paul Popplewell,Action, Crime, Drama,1.27,R ,"58,099"
420,Kon-Tiki, Pål Sverre Hagen, Anders Baasmo, Gustaf Skarsgård, Odd-Magnus Williamson,Action, Adventure, Biography,1.52,PG-13 ,"50,459"
421,Harry Brown, Michael Caine, Emily Mortimer, David Bradley, Charlie Creed-Miles,Action, Crime, Drama,1.82,R ,"89,456"
422,Fist of Fury, Bruce Lee, Nora Miao, James Tien, Maria Yi,Action, Drama, Romance,1.29,R ,"31,999"
423,The Good the Bad the Weird, Song Kang-ho, Lee Byung-hun, Jung Woo-sung, Je-mun Yun,Action, Adventure, Comedy,0.13,R ,"36,749"
424,Marshland, Javier Gutiérrez, Raúl Arévalo, María Varod, Perico Cervantes,Action, Crime, Mystery,Nan,TV-MA ,"35,025"
425,Mongol: The Rise of Genghis Khan, Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun,Action, Biography, Drama,5.70,R ,"47,928"
426,Final Fantasy VII: Advent Children, Takahiro Sakurai, Ayumi Ito, Shôtarô Morikubo, Maaya Sakamoto,Animation, Action, Adventure,Nan,PG-13 ,"57,201"
427,Holiday: A Soldier is Never Off Duty, Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghavan,Action, Crime, Thriller,0.71,Not Rated ,"29,129"
428,Furious 7, Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham,Action, Crime, Thriller,353.01,PG-13 ,"399,686"
429,Free Guy, Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery,Action, Adventure, Comedy,121.63,PG-13 ,"390,130"
430,Wrath of Man, Jason Statham, Holt McCallany, Josh Hartnett, Rocci Boy Williams,Action, Crime, Thriller,27.47,R ,"189,806"
431,Mission: Impossible, Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny,Action, Adventure, Thriller,180.98,PG-13 ,"438,303"
432,The Mummy, Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo,Action, Adventure, Fantasy,155.25,PG-13 ,"443,446"
433,Man of Steel, Henry Cavill, Amy Adams, Michael Shannon, Diane Lane,Action, Adventure, Sci-Fi,291.05,PG-13 ,"785,705"
434,Prey, Amber Midthunder, Dakota Beavers, Dane DiLiegro, Stormee Kipp,Action, Adventure, Drama,Nan,R ,"206,621"
435,Dredd, Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood,Action, Crime, Sci-Fi,13.41,R ,"282,442"
436,Shooter, Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover,Action, Drama, Thriller,47.00,R ,"341,834"
437,Tropic Thunder, Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn,Action, Comedy, War,110.52,R ,"428,924"
438,Snowpiercer, Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris,Action, Drama, Sci-Fi,4.56,R ,"371,585"
439,WarGames, Matthew Broderick, Ally Sheedy, John Wood, Dabney Coleman,Action, Drama, Sci-Fi,79.57,PG ,"104,287"
440,Iron Man 3, Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle,Action, Adventure, Sci-Fi,409.01,PG-13 ,"868,739"
441,Sicario: Day of the Soldado, Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan,Action, Crime, Drama,50.07,R ,"156,033"
442,We Were Soldiers, Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott,Action, Drama, History,78.12,R ,"146,388"
443,Blade, Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright,Action, Horror, Sci-Fi,70.09,R ,"284,232"
444,Batman Returns, Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken,Action, Crime, Fantasy,162.83,PG-13 ,"313,497"
445,Desperado, Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin,Action, Crime, Thriller,25.63,R ,"191,026"
446,DC League of Super-Pets, Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski,Animation, Action, Adventure,93.66,PG ,"69,183"
447,Highlander, Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart,Action, Adventure, Fantasy,5.90,R ,"140,651"
448,American Made, Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons,Action, Comedy, Crime,51.34,R ,"193,110"
449,Pirates of the Caribbean: At World's End, Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush,Action, Adventure, Fantasy,309.42,PG-13 ,"666,455"
450,"I, Robot", Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk,Action, Mystery, Sci-Fi,144.80,PG-13 ,"554,297"
451,Casualties of War, Michael J. Fox, Sean Penn, Don Harvey, John C. Reilly,Action, Crime, Drama,18.67,R ,"46,221"
452,Kung Fu Panda 3, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie,Animation, Action, Adventure,143.53,PG ,"169,642"
453,Escape from New York, Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence,Action, Adventure, Sci-Fi,25.24,R ,"148,719"
454,Creed II, Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad,Action, Drama, Sport,115.72,PG-13 ,"144,025"
455,The Poseidon Adventure, Gene Hackman, Ernest Borgnine, Shelley Winters, Red Buttons,Action, Adventure, Drama,84.56,PG ,"47,192"
456,Everest, Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson,Action, Adventure, Biography,43.48,PG-13 ,"223,785"
457,Allied, Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim,Action, Drama, Romance,40.10,R ,"162,484"
458,Planet Terror, Rose McGowan, Freddy Rodríguez, Josh Brolin, Marley Shelton,Action, Comedy, Horror,Nan,R ,"216,655"
459,No Way Out, Kevin Costner, Gene Hackman, Sean Young, Will Patton,Action, Crime, Drama,35.51,R ,"42,738"
460,Deja Vu, Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer,Action, Crime, Sci-Fi,64.04,PG-13 ,"317,635"
461,Rocky Balboa, Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young,Action, Drama, Sport,70.27,PG ,"224,390"
462,Deepwater Horizon, Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont,Action, Drama, History,61.43,PG-13 ,"174,050"
463,Three Kings, George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze,Action, Adventure, Comedy,60.65,R ,"175,822"
464,Live Free or Die Hard, Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q,Action, Thriller,Nan,134.53,PG-13 ,"412,304"
465,Die Hard 2, Bruce Willis, William Atherton, Bonnie Bedelia, Reginald VelJohnson,Action, Thriller,Nan,117.54,R ,"370,434"
466,Defiance, Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos,Action, Drama, History,28.64,R ,"151,936"
467,Brawl in Cell Block 99, Vince Vaughn, Jennifer Carpenter, Don Johnson, Udo Kier,Action, Crime, Drama,Nan,Not Rated ,"70,741"
468,Flags of Our Fathers, Ryan Phillippe, Barry Pepper, Joseph Cross, Jesse Bradford,Action, Adventure, Drama,33.60,R ,"126,091"
469,Payback, Mel Gibson, Gregg Henry, Maria Bello, David Paymer,Action, Crime, Drama,81.53,R ,"141,445"
470,Ong-Bak: The Thai Warrior, Tony Jaa, Phetthai Vongkumlao, Pumwaree Yodkamol, Suchao Pongwilai,Action, Crime, Thriller,4.56,R ,"76,357"
471,Mosul, Waleed Elgadi, Suhail Dabbach, Adam Bessa, Is'haq Elias,Action, Drama, War,Nan,TV-MA ,"28,445"
472,District B13, Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri,Action, Crime, Sci-Fi,1.20,R ,"72,023"
473,The Girl Who Played with Fire, Noomi Rapace, Michael Nyqvist, Lena Endre, Peter Andersson,Action, Crime, Drama,9.08,R ,"96,800"
474,God Bless America, Joel Murray, Tara Lynne Barr, Mackenzie Brooke Smith, Melinda Page Hamilton,Action, Comedy, Crime,0.12,R ,"71,021"
475,In Order of Disappearance, Stellan Skarsgård, Bruno Ganz, Pål Sverre Hagen, Jakob Oftebro,Action, Comedy, Crime,0.05,R ,"28,100"
476,Don, Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar,Action, Crime, Thriller,0.80,Not Rated ,"38,879"
477,JCVD, Jean-Claude Van Damme, Valérie Bodson, Hervé Sogne, Rock Chen,Action, Comedy, Crime,0.47,R ,"39,611"
478,Kaabil, Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy,Action, Crime, Drama,Nan,Not Rated ,"27,988"
479,Dragon Ball Z: Battle of Gods, Masako Nozawa, Hiromi Tsuru, Ryô Horikawa, Masaharu Satô,Animation, Action, Adventure,2.55,TV-PG ,"28,903"
480,Micmacs, Dany Boon, André Dussollier, Nicolas Marié, Yolande Moreau,Action, Comedy, Crime,1.26,R ,"30,791"
481,Koi, Hrithik Roshan, Rekha, Preity G Zinta, Rakesh Roshan,Action, Drama, Romance,0.68,Not Rated ,"25,621"
482,Enthiran, Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam,Action, Sci-Fi, Thriller,4.37,Not Rated ,"28,641"
483,Fanaa, Aamir Khan, Kajol, Rishi Kapoor, Tabu,Action, Drama, Romance,2.10,Not Rated ,"33,891"
484,Marighella, Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão,Action, Drama, History,Nan,Nan,"55,575"
485,Gabbar Is Back, Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman,Action, Crime, Drama,Nan,Not Rated ,"25,761"
486,Fast & Furious 6, Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez,Action, Adventure, Crime,238.68,PG-13 ,"403,336"
487,The Unbearable Weight of Massive Talent, Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan,Action, Comedy, Crime,Nan,R ,"123,035"
488,Transformers, Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson,Action, Adventure, Sci-Fi,319.25,PG-13 ,"651,123"
489,The Northman, Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke,Action, Adventure, Drama,34.23,R ,"227,678"
490,Ant-Man and the Wasp, Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins,Action, Adventure, Comedy,216.65,PG-13 ,"424,247"
491,Shazam!, Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer,Action, Adventure, Comedy,140.37,PG-13 ,"362,587"
492,Death Proof, Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito,Action, Thriller,Nan,Nan,R ,"300,587"
493,Independence Day, Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell,Action, Adventure, Sci-Fi,306.17,PG-13 ,"586,229"
494,Jack Reacher, Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog,Action, Mystery, Thriller,80.07,PG-13 ,"349,666"
495,Super 8, Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney,Action, Mystery, Sci-Fi,127.00,PG-13 ,"360,668"
496,Thor, Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston,Action, Fantasy,Nan,181.03,PG-13 ,"867,419"
497,World War Z, Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale,Action, Adventure, Horror,202.36,PG-13 ,"686,993"
498,Cloverfield, Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller,Action, Adventure, Horror,80.05,PG-13 ,"408,420"
499,Constantine, Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf,Action, Fantasy, Horror,75.98,R ,"357,974"
500,Smokey and the Bandit, Burt Reynolds, Sally Field, Jerry Reed, Mike Henry,Action, Adventure, Comedy,126.74,PG ,"53,885"
501,Star Trek Beyond, Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana,Action, Adventure, Sci-Fi,158.85,PG-13 ,"251,606"
502,Oblivion, Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko,Action, Adventure, Sci-Fi,89.02,PG-13 ,"537,180"
503,Pitch Black, Radha Mitchell, Cole Hauser, Vin Diesel, Keith David,Action, Horror, Sci-Fi,39.24,R ,"246,795"
504,Greyhound, Tom Hanks, Elisabeth Shue, Stephen Graham, Matt Helm,Action, Drama, History,Nan,PG-13 ,"103,143"
505,Rush Hour, Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson,Action, Comedy, Crime,141.15,PG-13 ,"278,957"
506,The Italian Job, Donald Sutherland, Mark Wahlberg, Edward Norton, Charlize Theron,Action, Crime, Thriller,106.13,PG-13 ,"376,881"
507,Stargate, Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors,Action, Adventure, Sci-Fi,71.57,PG-13 ,"196,953"
508,Brotherhood of the Wolf, Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel,Action, Adventure, Drama,11.26,R ,"68,620"
509,The Last Boy Scout, Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham,Action, Comedy, Crime,59.51,R ,"107,287"
510,Underworld, Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen,Action, Fantasy, Thriller,51.97,R ,"276,828"
511,RED, Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker,Action, Comedy, Crime,90.38,PG-13 ,"315,432"
512,Spy, Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham,Action, Comedy,Nan,110.83,R ,"250,118"
513,Den of Thieves, Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent,Action, Crime, Drama,44.95,R ,"117,584"
514,Logan Lucky, Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie,Action, Comedy, Crime,27.78,PG-13 ,"155,254"
515,Real Steel, Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie,Action, Drama, Sci-Fi,85.47,PG-13 ,"340,118"
516,Public Enemies, Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke,Action, Biography, Crime,97.10,R ,"309,574"
517,The Towering Inferno, Paul Newman, Steve McQueen, William Holden, Faye Dunaway,Action, Drama, Thriller,116.00,PG ,"46,003"
518,Fallen, Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz,Action, Crime, Drama,25.19,R ,"87,016"
519,22 Jump Street, Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman,Action, Comedy, Crime,191.72,R ,"388,855"
520,Rambo, Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish,Action, Adventure, Thriller,42.75,R ,"237,537"
521,Bronson, Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker,Action, Crime, Drama,0.10,R ,"135,636"
522,Chronicle, Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly,Action, Drama, Sci-Fi,64.58,PG-13 ,"256,603"
523,9, Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer,Animation, Action, Adventure,31.74,PG-13 ,"143,133"
524,Chip 'n Dale: Rescue Rangers, Andy Samberg, John Mulaney, KiKi Layne, Will Arnett,Animation, Action, Adventure,Nan,PG ,"43,546"
525,Hellboy II: The Golden Army, Ron Perlman, Selma Blair, Doug Jones, John Alexander,Action, Adventure, Fantasy,75.75,PG-13 ,"278,250"
526,Body of Lies, Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani,Action, Drama, Thriller,39.39,R ,"232,897"
527,The Foreigner, Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy,Action, Thriller,Nan,34.39,R ,"118,322"
528,The Kingdom, Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman,Action, Drama, Thriller,47.54,R ,"128,436"
529,A Most Violent Year, Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola,Action, Crime, Drama,5.74,R ,"74,781"
530,The Spy Who Loved Me, Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel,Action, Adventure, Thriller,46.80,PG ,"112,125"
531,Filth, James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots,Action, Comedy, Crime,0.03,R ,"112,238"
532,Spy Game, Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane,Action, Crime, Thriller,0.03,R ,"160,942"
533,Ip Man 4: The Finale, Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu,Action, Biography, Drama,3.96,Not Rated ,"34,426"
534,Son of Rambow, Bill Milner, Will Poulter, Jessica Hynes, Anna Wing,Action, Adventure, Comedy,1.78,PG-13 ,"32,498"
535,Ichi the Killer, Tadanobu Asano, Nao Ômori, Shin'ya Tsukamoto, Paulyn Sun,Action, Crime, Drama,0.02,R ,"57,988"
536,Maverick, Mel Gibson, Jodie Foster, James Garner, Graham Greene,Action, Adventure, Comedy,101.63,PG ,"115,123"
537,Thunderbolt and Lightfoot, Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis,Action, Comedy, Crime,25.00,R ,"26,853"
538,Juice, Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain,Action, Crime, Drama,20.15,R ,"28,573"
539,Unleashed, Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon,Action, Crime, Drama,24.52,R ,"105,323"
540,An Action Hero, Ayushmann Khurrana, Jaideep Ahlawat, Neeraj Madhav, Gautam Joglekar,Action, Comedy, Crime,Nan,U ,"29,221"
541,The War of the Worlds, Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite,Action, Sci-Fi, Thriller,4.36,G ,"37,119"
542,Taxi, Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary,Action, Comedy, Crime,0.27,Not Rated ,"86,138"
543,Dragon: The Bruce Lee Story, Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned,Action, Biography, Drama,35.11,PG-13 ,"31,959"
544,Ip Man 3, Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson,Action, Biography, Drama,2.68,PG-13 ,"57,769"
545,Don 2, Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas,Action, Crime, Thriller,3.68,Not Rated ,"55,254"
546,The Protector, Tony Jaa, Nathan Jones, Xing Jin, Phetthai Vongkumlao,Action, Crime, Drama,11.91,R ,"38,136"
547,Curse of the Golden Flower, Chow Yun-Fat, Gong Li, Jay Chou, Ye Liu,Action, Drama, Romance,6.57,R ,"45,078"
548,Kabir Singh, Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar,Action, Drama, Romance,Nan,Not Rated ,"35,775"
549,Sultan, Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh,Action, Drama, Romance,6.20,Not Rated ,"48,890"
550,Vikrant Rona, Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez,Action, Crime, Drama,Nan,Not Rated ,"27,921"
551,Main Hoon Na, Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan,Action, Comedy, Drama,1.72,Not Rated ,"37,722"
552,The Warlords, Jet Li, Andy Lau, Takeshi Kaneshiro, Jinglei Xu,Action, Adventure, Drama,0.13,R ,"27,362"
553,The Legend Is Born: Ip Man, Yu-Hang To, Yi Huang, Biao Yuen, Siu-Wong Fan,Action, Biography, Drama,Nan,Not Rated ,"32,519"
554,The Legend, Saravanan Arul, Geethika, Mayilsamy, Nassar,Action, Drama, Romance,Nan,UA ,"29,196"
555,The Last Kingdom: Seven Kings Must Die, Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson,Action, Drama, History,Nan,TV-MA ,"25,164"
556,Top Gun, Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer,Action, Drama,Nan,179.80,PG ,"473,935"
557,Conan the Barbarian, Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman,Action, Adventure, Fantasy,39.57,R ,"155,232"
558,Doctor Strange in the Multiverse of Madness, Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong,Action, Adventure, Fantasy,411.33,PG-13 ,"438,084"
559,Game Night, Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan,Action, Adventure, Comedy,69.18,R ,"244,192"
560,A Knight's Tale, Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon,Action, Adventure, Romance,56.57,PG-13 ,"193,290"
561,Jumanji: Welcome to the Jungle, Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black,Action, Adventure, Comedy,404.52,PG-13 ,"396,393"
562,Captain America: The First Avenger, Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell,Action, Adventure, Sci-Fi,176.65,PG-13 ,"863,975"
563,The Mask, Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene,Action, Comedy, Crime,119.94,PG-13 ,"398,756"
564,Mission: Impossible III, Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman,Action, Adventure, Thriller,134.03,PG-13 ,"366,188"
565,Solo: A Star Wars Story, Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover,Action, Adventure, Sci-Fi,213.77,PG-13 ,"360,382"
566,Star Wars: Episode VIII - The Last Jedi, Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher,Action, Adventure, Fantasy,620.18,PG-13 ,"647,277"
567,The Amazing Spider-Man, Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan,Action, Adventure, Sci-Fi,262.03,PG-13 ,"671,800"
568,Pacific Rim, Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day,Action, Adventure, Sci-Fi,101.80,PG-13 ,"512,859"
569,Jurassic World, Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer,Action, Adventure, Sci-Fi,652.27,PG-13 ,"656,509"
570,X-Men: Apocalypse, James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult,Action, Adventure, Sci-Fi,155.44,PG-13 ,"445,524"
571,Iron Man 2, Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle,Action, Sci-Fi,Nan,312.43,PG-13 ,"836,211"
572,National Treasure, Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean,Action, Adventure, Mystery,173.01,PG ,"342,677"
573,Con Air, Nicolas Cage, John Cusack, John Malkovich, Colm Meaney,Action, Crime, Thriller,101.12,R ,"307,898"
574,The World's End, Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike,Action, Comedy, Sci-Fi,26.00,R ,"288,805"
575,Romancing the Stone, Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman,Action, Adventure, Comedy,76.57,PG ,"98,495"
576,The Guardian, Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller,Action, Adventure, Drama,55.01,PG-13 ,"95,292"
577,Atlantis: The Lost Empire, Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian,Animation, Action, Adventure,84.05,PG ,"126,059"
578,28 Weeks Later, Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau,Action, Adventure, Horror,28.64,R ,"283,398"
579,Robin Hood: Prince of Thieves, Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater,Action, Adventure, Drama,165.50,PG-13 ,"200,431"
580,Love and Monsters, Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing,Action, Adventure, Comedy,1.07,PG-13 ,"134,182"
581,Dragged Across Concrete, Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White,Action, Crime, Drama,Nan,R ,"50,932"
582,Pineapple Express, Seth Rogen, James Franco, Gary Cole, Danny McBride,Action, Comedy, Crime,87.34,R ,"347,627"
583,Thunderball, Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi,Action, Adventure, Thriller,63.60,PG ,"122,349"
584,Outlaw King, Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle,Action, Biography, Drama,Nan,R ,"76,054"
585,Crank, Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo,Action, Crime, Thriller,27.83,R ,"255,515"
586,In the Heart of the Sea, Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw,Action, Adventure, Biography,25.02,PG-13 ,"143,059"
587,The Hitman's Bodyguard, Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung,Action, Comedy, Crime,75.47,R ,"238,029"
588,Clear and Present Danger, Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida,Action, Crime, Drama,122.19,PG-13 ,"103,488"
589,48 Hrs, Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae,Action, Comedy, Crime,78.87,R ,"81,383"
590,Clash of the Titans, Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith,Action, Adventure, Family,41.09,PG ,"45,951"
591,Death Wish, Charles Bronson, Hope Lange, Vincent Gardenia, Steven Keats,Action, Crime, Drama,22.00,R ,"41,243"
592,The Edge, Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau,Action, Adventure, Drama,27.78,R ,"76,124"
593,Non-Stop, Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery,Action, Mystery, Thriller,92.17,PG-13 ,"269,486"
594,The Last Castle, Robert Redford, James Gandolfini, Mark Ruffalo, Steve Burton,Action, Drama, Thriller,18.21,R ,"82,814"
595,The Monster Squad, Andre Gower, Robby Kiger, Stephen Macht, Duncan Regehr,Action, Comedy, Fantasy,3.77,PG-13 ,"33,645"
596,Repo Man, Harry Dean Stanton, Emilio Estevez, Tracey Walter, Olivia Barash,Action, Comedy, Crime,3.57,R ,"39,017"
597,Westworld, Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold,Action, Sci-Fi, Thriller,16.06,PG ,"60,618"
598,The Night Comes for Us, Iko Uwais, Joe Taslim, Julie Estelle, Hannah Al Rashid,Action, Crime, Thriller,Nan,TV-MA ,"27,667"
599,Free State of Jones, Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell,Action, Biography, Drama,20.76,R ,"59,675"
600,Legend of the Guardians: The Owls of Ga'Hoole, Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay,Animation, Action, Adventure,55.68,PG ,"85,204"
601,Memphis Belle, Matthew Modine, Eric Stoltz, Tate Donovan, D.B. Sweeney,Action, Drama, War,27.44,PG-13 ,"29,399"
602,Muppet Treasure Island, Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop,Action, Adventure, Comedy,33.61,G ,"25,261"
603,Slow West, Kodi Smit-McPhee, Caren Pistorius, Aorere Paki, Jeffrey Thomas,Action, Adventure, Drama,0.23,R ,"46,606"
604,All Is Lost, Robert Redford,Nan,Nan,Nan,Action, Adventure, Drama,6.26,PG-13 ,"81,992"
605,Get the Gringo, Mel Gibson, Kevin Balmore, Daniel Giménez Cacho, Jesús Ochoa,Action, Drama, Thriller,Nan,R ,"109,747"
606,The Big Boss, Bruce Lee, Maria Yi, James Tien, Marilyn Bautista,Action, Crime, Drama,0.04,R ,"28,139"
607,New Police Story, Jackie Chan, Nicholas Tse, Charlie Yeung, Daniel Wu,Action, Crime, Thriller,Nan,R ,"28,032"
608,Agneepath, Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt, Rishi Kapoor,Action, Crime, Drama,1.98,Not Rated ,"25,510"
