,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
88,The Revenant, Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson,Action, Adventure, Drama,183.64,R ,"827,124"
89,Akira, Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda,Animation, Action, Drama,0.55,R ,"193,402"
90,Kill Bill: Vol, Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah,Action, Crime, Thriller,66.21,R ,"773,464"
91,Ip Man, Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam,Action, Biography, Drama,Nan,R ,"228,244"
92,The Bourne Ultimatum, Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles,Action, Mystery, Thriller,227.47,PG-13 ,"643,805"
93,Wolfwalkers, Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney,Animation, Action, Adventure,Nan,PG ,"35,075"
94,Infernal Affairs, Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang,Action, Crime, Drama,0.17,R ,"127,566"
95,Baahubali: The Beginning, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,6.74,Not Rated ,"129,830"
96,Elite Squad, Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz,Action, Crime, Drama,0.01,R ,"106,671"
97,Haider, Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon,Action, Crime, Drama,0.90,Not Rated ,"56,057"
98,Elite Squad 2: The Enemy Within, Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz,Action, Crime, Drama,0.10,Not Rated ,"84,696"
99,Sanjuro, Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô,Action, Drama, Thriller,Nan,Not Rated ,"39,408"
100,Andaz Apna Apna, Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor,Action, Comedy, Romance,Nan,Not Rated ,"54,183"
101,Tae Guk Gi: The Brotherhood of War, Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong,Action, Drama, War,1.11,R ,"40,355"
102,Karthikeya 2, Nikhil Siddharth, Anupama Parameswaran, Srinivasa Reddy, Harsha Chemudu,Action, Adventure, Fantasy,Nan,UA ,"63,161"
103,The Breath, Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç,Action, Drama, Thriller,Nan,Nan,"34,374"
104,Arjun Reddy, Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana,Action, Drama, Romance,Nan,Not Rated ,"26,273"
105,1: Nenokkadine, Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat,Action, Thriller,Nan,Nan,Not Rated ,"45,877"
106,Avatar, Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez,Action, Adventure, Fantasy,760.51,PG-13 ,"1,341,407"
107,Iron Man, Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges,Action, Adventure, Sci-Fi,318.41,PG-13 ,"1,081,489"
108,Star Trek, Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy,Action, Adventure, Sci-Fi,257.73,PG-13 ,"610,132"
109,Thor: Ragnarok, Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo,Action, Adventure, Comedy,315.06,PG-13 ,"775,086"
110,Edge of Tomorrow, Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson,Action, Adventure, Sci-Fi,100.21,PG-13 ,"698,589"
111,Children of Men, Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine,Action, Drama, Sci-Fi,35.55,R ,"511,353"
112,X-Men: Days of Future Past, Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy,Action, Adventure, Sci-Fi,233.92,PG-13 ,"724,638"
113,The Bourne Identity, Franka Potente, Matt Damon, Chris Cooper, Clive Owen,Action, Mystery, Thriller,121.66,PG-13 ,"558,462"
114,District 9, Sharlto Copley, David James, Jason Cope, Nathalie Boltt,Action, Sci-Fi, Thriller,115.65,R ,"694,564"
115,The Blues Brothers, John Belushi, Dan Aykroyd, Cab Calloway, John Candy,Action, Adventure, Comedy,57.23,R ,"205,735"
116,The Adventures of Robin Hood, Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains,Action, Adventure, Romance,3.98,PG ,"52,779"
117,"Crouching Tiger, Hidden Dragon", Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chang Chen,Action, Adventure, Drama,128.08,PG-13 ,"275,518"
118,Ghost in the Shell, Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera,Animation, Action, Crime,0.52,TV-MA ,"148,298"
119,A Fistful of Dollars, Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy,Action, Drama, Western,14.50,R ,"223,253"
120,The Wild Bunch, William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien,Action, Adventure, Drama,12.06,R ,"87,345"
121,The Raid 2, Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara,Action, Crime, Thriller,2.63,R ,"126,994"
122,Hero, Jet Li, Tony Leung Chiu-wai, Maggie Cheung, Ziyi Zhang,Action, Adventure, Drama,53.71,PG-13 ,"184,360"
123,Letters from Iwo Jima, Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase,Action, Adventure, Drama,13.76,R ,"166,179"
124,A Taxi Driver, Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol,Action, Drama, History,1.53,Not Rated ,"27,324"
125,Baby, Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu,Action, Crime, Thriller,Nan,Not Rated ,"58,784"
126,Airlift, Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi,Action, Drama, History,Nan,Not Rated ,"57,829"
127,Vishwaroopam, Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose,Action, Thriller,Nan,Nan,Not Rated ,"40,544"
128,Everything Everywhere All at Once, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan,Action, Adventure, Comedy,72.86,R ,"446,146"
129,The Batman, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell,Action, Crime, Drama,369.35,PG-13 ,"698,786"
130,All Quiet on the Western Front, Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus,Action, Drama, War,Nan,R ,"204,241"
131,The Gentlemen, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong,Action, Comedy, Crime,36.47,R ,"359,984"
132,Rogue One: A Star Wars Story, Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,Action, Adventure, Sci-Fi,532.18,PG-13 ,"657,202"
133,RRR, N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt,Action, Drama,Nan,14.50,Not Rated ,"149,836"
134,Drive, Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks,Action, Drama,Nan,35.06,R ,"663,689"
